TDPF_solver,load_ratio,air_temp,wind_speed,max_conductor_temp,exper_id,solver_status,load,node_load_shedding,node_mis_match_0001_num,node_mis_match_001_num,node_mis_match_01_num,0.7_flow_num,0.7_temp_num,tem_con_mean,tem_con_max,run_time,gen_cost,0.8_flow_num,0.8_temp_num,0.9_flow_num,0.9_temp_num
base,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,1.0343116770681616e-05,0,0,0,1,1,36.34812179498556,74.72810223698616,0.40064001083374023,5383.559591311998,1,1,1,0
td_quad,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-4.3778576953308e-06,0,0,0,1,1,36.3674162546309,74.73116889595985,0.35025906562805176,5429.347184095935,1,1,1,0
td_derate_iter_2,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-4.414091116207307e-06,0,0,0,1,1,36.367412692889935,74.7313879430294,0.5105669498443604,5429.5924464888485,1,1,1,0
td_derate_iter_10,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-4.411332340149169e-06,0,0,0,1,1,36.367412692889935,74.7313879430294,0.809528112411499,5429.591845217791,1,1,1,0
base_derate,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-2.2083213051804767e-06,0,0,0,1,1,36.3479696577642,74.72956255078316,0.17134785652160645,5383.223353402287,1,1,1,0
td_iter_2,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-4.414091116207307e-06,0,0,0,1,1,36.367412692889935,74.7313879430294,0.415341854095459,5429.5924464888485,1,1,1,0
base_acsc,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-9.232038119258371e-06,0,0,0,0,0,35.55150204678861,48.2961930334568,2.324848175048828,7440.878236438678,0,0,0,0
base_dcsc,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.279834975632545e-06,0,0,0,0,0,35.70258066785045,52.55226716399193,0.9060361385345459,7025.718636615553,0,0,0,0
base_fixsc,0.8,25,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.313874123731809e-06,0,0,0,0,0,35.707920989612255,52.93228253722191,0.2754812240600586,6965.423378206973,0,0,0,0
base,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,1.0343116770681616e-05,0,0,0,1,1,45.658820522267646,106.55271038413048,0.26359987258911133,5383.559591311998,1,1,1,1
td_quad,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-5.017969503899903e-06,0,0,0,1,1,45.12816131478402,87.11596503853798,0.23262429237365723,6313.340215841531,1,1,0,1
td_derate_iter_2,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-7.4032565132332585e-06,0,0,0,1,1,45.208340937771446,89.99983444809914,0.6009249687194824,6171.56440864813,1,1,0,1
td_derate_iter_10,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-7.399576807144882e-06,0,0,0,1,1,45.20835162299435,89.99983444809914,1.1878688335418701,6171.460845577458,1,1,0,1
base_derate,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-2.2083213051804767e-06,0,0,0,1,1,45.65857705183146,106.55481740832329,0.19007468223571777,5383.223353402287,1,1,1,1
td_iter_2,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-7.4032565132332585e-06,0,0,0,1,1,45.208340937771446,89.99983444809914,0.4053809642791748,6171.56440864813,1,1,0,1
base_acsc,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-9.232038119258371e-06,0,0,0,0,1,44.41827479295614,66.62204638123512,2.1010329723358154,7440.878236438678,0,0,0,0
base_dcsc,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.279834975632545e-06,0,0,0,0,1,44.66920173386248,73.33840504288673,0.7919461727142334,7025.718636615553,0,1,0,0
base_fixsc,0.8,25,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.313874123731809e-06,0,0,0,0,1,44.6774509803551,73.93179312348366,0.287487268447876,6965.423378206973,0,1,0,0
base,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,1.0343116770681616e-05,0,0,0,1,3,56.02849546729065,95.17721563577652,0.29240894317626953,5383.559591311998,1,1,1,1
td_quad,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-5.933311711874075e-06,0,0,0,1,3,55.964003794076966,91.87119513750076,0.22208619117736816,5664.348576105397,1,1,1,1
td_derate_iter_2,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.26596585822514e-06,0,0,0,1,2,55.90711986873208,89.9997815489769,0.4032278060913086,5776.541285634106,1,1,1,1
td_derate_iter_10,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.264948311788273e-06,0,0,0,1,2,55.907123474086205,89.9997815489769,0.9645049571990967,5776.516177020982,1,1,1,1
base_derate,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-4.002938739626663e-06,0,0,0,1,3,56.028513043391996,95.18196433782578,0.17360997200012207,5383.208589838542,1,1,1,1
td_iter_2,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-2.561281724138651e-06,0,0,0,1,2,55.906942305041525,89.99950438737869,0.45252418518066406,5776.620367143409,1,1,1,1
base_acsc,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-9.232038119258371e-06,0,0,0,0,1,55.21746384661372,68.33446592092514,2.1810669898986816,7440.878236438678,0,0,0,0
base_dcsc,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.279834975632545e-06,0,0,0,0,2,55.372365633162055,72.68880397081375,0.7637529373168945,7025.718636615553,0,1,0,0
base_fixsc,0.8,45,0.61,90,heatflow_analysis,1,0.6801600000000001,-6.313874123731809e-06,0,0,0,0,1,55.377790339109374,73.07697802782059,0.18086695671081543,6965.423378206973,0,1,0,0
base,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,1.0343116770681616e-05,0,0,0,1,10,64.3514500522032,125.45329540967941,0.17818212509155273,5383.559591311998,1,5,1,1
td_quad,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.465318790020435e-06,0,0,0,0,10,63.33714270737113,90.44536501169205,0.29354000091552734,7211.580087353153,0,5,0,1
td_derate_iter_2,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.962386628512465e-06,0,0,0,0,10,63.309421590188656,89.99989241361618,0.4013092517852783,7235.272102007432,0,5,0,1
td_derate_iter_10,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-6.991075864232731e-06,0,0,0,0,10,63.30943420892808,89.99991089105606,1.0198357105255127,7235.111729231715,0,5,0,1
base_derate,0.8,45,0.1,90,heatflow_analysis,1,0.6801600000000001,-4.002938739626663e-06,0,0,0,1,10,64.35143563078671,125.45996576547623,0.18021583557128906,5383.208589838542,1,5,1,1
